time,open,high,low,close,T3
1725909600,544.88,544.91,544.46,544.8681,546.8427603337632
1725909900,544.84,545.63,544.74,545.59,546.7797062756435
1725910200,545.58,545.98,545.44,545.61,546.7145390758828
1725910500,545.62,546.13,545.5,545.69,546.6484648143019
1725910800,545.69,546.18,545.69,545.9325,546.582765888204
1725911100,545.92,545.95,545.43,545.7,546.5181735404194
1725911400,545.71,546,544.98,545.64,546.4551946372635
1725911700,545.66,546.51,545.63,546.42,546.3951756622455
1725975000,548.36,548.66,547.96,548.14,546.3412061168879
1725975300,548.18,548.32,547.82,547.89,546.2952139580871
1725975600,547.84,548.52,547.77,548.51,546.2592546072883
1725975900,548.5,548.5665,547.95,548.0101,546.2340575247895
1725976200,548.03,548.31,547.63,548.23,546.2201988818229
1725976500,548.23,548.58,547.68,547.8699,546.2174083723012
1725976800,547.87,547.995,547.565,547.7805,546.2251017543435
1725977100,547.77,548.11,546.86,547.78,546.2425698760962
1725977400,547.78,547.785,545.71,545.88,546.2667052996239
1725977700,545.89,546.455452,545.5493,546.22,546.2953843966902
1725978000,546.2301,546.48,545.6602,545.85,546.3264094855613
1725978300,545.88,547.28,545.85,547.08,546.3595250916778
1725978600,547.09,547.2464,546.27,546.37,546.3935855839891
1725978900,546.41,547.12,546.3411,546.94,546.4283576515522
1725979200,546.948,547.17,546.2505,546.334,546.4628706758003
1725979500,546.31,546.85,546.06,546.65,546.4967430502174
1725979800,546.665,546.69,545.66,546.19,546.5291034405323
1725980100,546.1992,546.53,545.94,546.52,546.5596946875853
1725980400,546.52,546.68,546.25,546.47,546.5882689329546
1725980700,546.43,546.9771,546.11,546.915,546.6151957149282
1725981000,546.98,547.32,546.73,546.9988,546.6408638695957
1725981300,547.03,547.445,546.973861,547.29,546.665920994044
1725981600,547.28,547.36,546.98,547.3303,546.6908896291534
1725981900,547.36,547.7,547.345,547.45,546.7162819032333
1725982200,547.45,547.73,547.09,547.19,546.7421271485587
1725982500,547.199,547.3,546.36,546.5125,546.7675808776448
1725982800,546.52,546.91,546.41,546.4995,546.7919683002974
1725983100,546.51,546.5795,545.83,545.98,546.8141438332759
1725983400,545.97,545.98,544.913,545.07,546.832161183404
1725983700,545.1,545.2468,544.12,544.18,546.8435451645514
1725984000,544.15,544.3798,543.38,543.77,546.846072084496
1725984300,543.75,544.26,543.6999,543.96,546.8385012248045
1725984600,543.94,544.2499,543.56,543.6099,546.819717184972
1725984900,543.6,544.26,543.49,544.22,546.7899061437288
1725985200,544.21,544.55,544.012,544.45,546.7497813014784
1725985500,544.46,544.62,544.13,544.29,546.6999724888838
1725985800,544.265,544.588,544.1101,544.58,546.641588929389
1725986100,544.576,544.85,544.36,544.68,546.5758526678169
1725986400,544.69,545.1,544.58,544.91,546.5042072710621
1725986700,544.9,545.09,544.6264,545.05,546.4281254057846
1725987000,545.05,545.8,544.9,545.76,546.3497645730968
1725987300,545.75,545.82,545.13,545.14,546.2701313198795
1725987600,545.13,545.57,545.03,545.55,546.1905939062203
1725987900,545.54,545.92,545.49,545.79,546.112554096524
1725988200,545.84,546.71,545.8001,546.68,546.0381949894836
1725988500,546.67,546.96,546.58,546.72,545.9691991446261
1725988800,546.72,546.87,546.29,546.84,545.9069227925338
1725989100,546.85,546.85,546.25,546.36,545.8517063930622
1725989400,546.36,546.82,546.29,546.78,545.8042037046257
1725989700,546.76,546.965,546.64,546.89,545.764904597519
1725990000,546.855,547.14,546.855,546.97,545.7341188877745
1725990300,546.97,547.15,546.74,546.834,545.7117417795912
1725990600,546.83,547.1899,546.78,546.94,545.6976442135874
1725990900,546.96,547.17,546.84,546.99,545.6916056416644
1725991200,547,547.73,547,547.53,545.6939300986237
1725991500,547.51,547.66,547.4,547.6399,545.7047786127737
1725991800,547.63,547.76,547.38,547.59,545.7239972794164
1725992100,547.59,547.95,547.53,547.6901,545.7513721890023
1725992400,547.69,547.8,547.23,547.66,545.7864825629249
1725992700,547.66,547.94,547.5,547.8801,545.829058169696
1725993000,547.8925,548.35,547.83,548.1899,545.8790504717795
1725993300,548.19,548.3,547.96,548.24,545.9362557718036
1725993600,548.25,548.36,548.03,548.245,546.0002957213715
1725993900,548.24,548.31,548.12,548.19,546.0705890495424
1725994200,548.195,548.33,547.91,548.24,546.146536481589
1725994500,548.25,548.32,548.0197,548.2199,546.2274482944736
1725994800,548.2,548.31,548.01,548.16,546.3125293415624
1725995100,548.17,548.35,547.97,548.2283,546.4010755222907
1725995400,548.22,548.43,548.18,548.425,546.4926208628872
1725995700,548.425,548.455,548.24,548.37,546.5865806926504
1725996000,548.37,548.615,548.37,548.55,546.6825779383835
1725996300,548.55,548.79,548.46,548.76,546.7804353809333
1725996600,548.77,548.88,548.54,548.72,546.8798243865722
1725996900,548.72,548.72,548.14,548.17,546.9796872497968
1725997200,548.195,548.56,548.195,548.41,547.0794017748249
1725997500,548.41,548.75,548.32,548.6,547.1786285176272
1725997800,548.6,548.86,548.26,548.81,547.2772741041404
1725998100,548.82,549.15,548.65,548.82,547.375189936246
1726061400,548.7,548.76,546.62,546.62,547.4695001140449
1726061700,546.63,547.05,546.05,546.15,547.5574475236308
1726062000,546.15,546.58,545.7,546.16,547.6370217452813
1726062300,546.16,546.27,545.01,545.43,547.7059324531556
1726062600,545.42,545.5,544.81,545.08,547.7622063061344
1726062900,545.08,545.43,544.5101,544.69,547.8041209086482
1726063200,544.69,544.78,543.61,544.17,547.8300411232058
1726063500,544.17,544.23,543.75,543.9,547.8387575079355
1726063800,543.88,543.995,542.13,542.2,547.8276883835783
1726064100,542.19,542.32,541.44,541.56,547.7945883426855
1726064400,541.58,542.39,541.2,541.67,547.7384553544262
1726064700,541.66,541.93,541.14,541.2425,547.6586198735972
1726065000,541.235,541.27,540.43,540.63,547.554478693537
1726065300,540.65,541.37,540.6,540.85,547.4265313417905
1726065600,540.8,540.86,540.07,540.3499,547.2752461377304
1726065900,540.33,540.66,539.96,540.0999,547.1013850150202
1726066200,540.07,540.43,539.96,540.37,546.9065696254124
1726066500,540.36,541.2273,539.98,541.16,546.6936862133412
1726066800,541.12,541.26,540.56,541.1699,546.4655758474032
1726067100,541.15,542.23,541.1021,541.69,546.2256139447218
1726067400,541.65,542.7699,541.39,542.6,545.9779852275074
1726067700,542.57,542.9,542.2607,542.48,545.726139635995
1726068000,542.49,542.5,541.67,541.93,545.4723709188756
1726068300,541.93,542.5,541.83,542.43,545.2193252790325
1726068600,542.43,543.03,542.31,542.68,544.9695473654078
1726068900,542.7,544.19,542.69,544.1024,544.7268683098264
1726069200,544.06,544.885,543.92,544.7235,544.4950168894188
1726069500,544.73,545.28,544.7,544.86,544.2769548585416
1726069800,544.88,544.9893,544.2701,544.29,544.0741205662857
1726070100,544.29,544.6,543,544.5,543.8877022163833
1726070400,544.48,545.88,544.27,545.87,543.7200665619703
